company
Permanent
Internship
Natixis
BNP Paribas
Crédit Agricole CIB
Société Générale
Societe Generale Corporate and Investment Banking - SGCIB
Full-time
Qube Research & Technologies · Permanent
Qube Research & Technologies
BNP Paribas CIB · Internship
Société Générale · Permanent
Amundi
Natixis Corporate & Investment Banking · Internship
Squarepoint Capital
BNP Paribas Asset Management
BNP Paribas CIB · Permanent
Natixis Corporate & Investment Banking · Permanent
Societe Generale Corporate and Investment Banking - SGCIB · Permanent
Societe Generale Corporate and Investment Banking - SGCIB · Internship
BNP Paribas · Permanent
Natixis · Permanent
Mazars · Permanent
Crédit Agricole CIB · Permanent
AXA Investment Managers
Natixis Corporate & Investment Banking
BNP Paribas CIB
Societe Generale
Thomson Reuters
Société Générale · Internship
Natixis · Internship
Crédit Agricole CIB · Internship
Qube Research & Technologies · Internship
Millennium
Misys
HSBC
BNP Paribas · Internship
BNP Paribas Asset Management · Permanent
Groupe BPCE
JPMorgan Chase & Co.
Banque de France · Permanent
Ostrum Asset Management · Internship
BNP Paribas CIB · Contract
Morgan Stanley
"Refinitiv, an LSEG business"
Ostrum Asset Management
Exiom Partners · Permanent
Squarepoint Capital · Permanent
HSBC · Internship
BNP Paribas Asset Management · Internship
Exane
Groupe BPCE · Internship
AWALEE CONSULTING by Canopee Group · Permanent
Bpifrance
Mosaic Finance
Apprenticeship
HSBC · Permanent
Groupe Crédit Agricole
Cubist Systematic Strategies
Natixis Asset Management
Exiom Partners · Internship
J.P. Morgan
Kepler Cheuvreux
Lunalogic Group
Murex · Internship
Mazars · Internship
Lyxor Asset Management
Ostrum Asset Management · Permanent
Barclays Investment Bank
Abu Dhabi Investment Authority (ADIA)
"ExodusPoint Capital Management, LP · Permanent"
Bank of America Merrill Lynch
KPMG France · Permanent
Millennium · Full-time
Jump Trading LLC
BNP Paribas Corporate and Institutional Banking
Groupe Crédit Agricole · Permanent
Lunalogic Group · Permanent
OFI Asset Management
Millennium · Permanent
Candriam · Internship
La Banque Postale · Permanent
Barclays
EY
TOBAM
Amundi · Permanent
Groupe BPCE · Permanent
Hiram Finance
Finastra
BNP Paribas · Apprenticeship
Credit Agricole
ABC arbitrage
Natixis Investment Managers · Permanent
Barclays Capital
HSBC Global Banking and Markets
Natixis Corporate & Investment Banking · Contract
Squarepoint Capital · Internship
axis alternatives · Permanent
Société Générale Asset Management
Crédit Agricole CIB · Contract
Natixis · Contract
Seeyond · Apprenticeship
Bolder Advisory · Permanent
Self-employed
Natixis · Freelance
Goldman Sachs
AXA · Internship
Euronext · Permanent
SESAMm
LSEG (London Stock Exchange Group) · Permanent
EDF · Internship
RBC Capital Markets
Contract
Capital Fund Management (CFM) · Internship
Canopee Group (Awalee & Coperneec) · Permanent
Exiom Partners
ABC arbitrage · Full-time
SESAMm · Permanent
Morgan Stanley · Permanent
CPR Asset Management · Internship
Forvis Mazars Group · Permanent
Natixis Investment Managers · Apprenticeship
Freelance
ABC arbitrage · Permanent
GDF SUEZ Trading
Quanteam
LSEG (London Stock Exchange Group)
Murex · Permanent
Groupe Caisse des Dépôts · Internship
Natixis · Full-time
ENGIE Global Energy Management & Sales · Internship
Latour Trading LLC · Permanent
Squarepoint Capital · Full-time
Azur IM
EDF · Permanent
HSBC · Contract
Mazars
HSBC · Full-time
Amundi · Internship
Pricing Partners
AXA Investment Managers · Permanent
JPMorgan Chase & Co. · Permanent
AiYO Associate in Your Operations (Capital Markets Operators)
Deriv · Permanent
JPMorgan Chase & Co. · Internship
ENGIE Global Markets
John Locke Investments (Hedge Fund) · Internship
Aviva · Permanent
"ExodusPoint Capital Management, LP"
Kepler Cheuvreux · Internship
Lehman Brothers
KPMG France
Societe Generale · Permanent
Melanion Capital · Internship
Societe Generale · Internship
Societe Generale Corporate and Investment Banking - SGCIB · Full-time
OSSIAM
BNP Paribas · International Corporate and Administration Volunteer
Groupe Crédit Agricole · Internship
BNP Paribas Personal Finance
La Française · Permanent
Ostrum Asset Management · Apprenticeship
Dexia
Noveo Finance
OTCex
NovaWatt
NitroX Consulting
ODDO BHF
Nexo · Permanent
Nexialog Consulting · Permanent
Nuant · Full-time
NewCo Partners · Permanent
NewAlpha Asset Management
"Natixis, FX, Interest Rate & Hybrid 														Derivatives Desk"
Natixis · Self-employed
Natixis Investment Managers Operating System
Natixis Investment Managers · Contract Part-time
Nexialog Consulting
2 yrs 9 mos
Natixis Corporate & Investment Banking · Indirect Contract
Lazard
MWA Conseil
MUFG · Permanent
MPG Partners
MONTPENSIER FINANCE
MISYS
MET International AG · Internship
MC Square Luxembourg
Lyxor Asset Management · Permanent
Lyxor Asset Management · Full-time
Lutetia Capital
Luoshu Investment · Internship
Laser Digital · Permanent
Machina Capital · Internship
Lamarck Group
"Laboratoire de probabilités, statistique et modélisation | LPSM · Internship"
La Française
La Francaise Investment Solutions
La Financière du Jour
La Banque Postale Structured Asset Management
La Banque Postale Asset Management · Full-time
La Banque Postale Asset Management · Contract
La Banque Postale Asset Management
La Banque Postale
LSEG (London Stock Exchange Group) · Full-time
Machina Capital
Management Solutions
Natixis Corporate & Investment Banking · Freelance
Mosaic Finance · Permanent
Natixis Asset Management · Full-time
Natixis - Equity Markets
Natixis (Investance)
National University of Singapore/ Aquanthus · Internship
Natexis puis Natixis
NatWest Markets Plc
NatWest Group · Internship
NatWest
NEXIUS FINANCE · Permanent
Murex · Full-time
Murex
Moneta Asset Management · Permanent
Management Solutions · Permanent
Mobilize Financial Services
Ministère de l’Economie et des Finances  · Internship
Milliman France · Internship
Millennium Management
Ofi Invest Asset Management · Internship
Metori Capital Management · Contract
Merrill Lynch
Melanion Capital
Mazars in the UK · Internship
Mazars UK
MarketCipher Partners
Oddo & Cie
QuantCube Technology · Permanent
Ofi Invest Asset Management · Permanent
Standard Chartered Bank · Permanent
Stellantis Finance & Services - CREDIPAR · Permanent
Sunny Asset Management
Sunny Asset Management · Internship
"Susquehanna International Group, LLP (SIG) · Permanent"
Swissquote
Syquant Capital
THEAM – BNP Paribas Group
TNP Consultants · Permanent
TNS-Ilres/European Commission · Full-time
TOBAM · Internship
TOBAM · Permanent
TURGOT ASSET MANAGEMENT
Taylor Woods Capital
Teza Technologies
Thomson Reuters via Pricing Partners
Statkraft · Internship
Standard Chartered
Sia Partners · Internship
Source Capital AG
Sinopia Asset Management
Smarkets
Societe Generale Assurances
Societe Generale Corporate & Investment Banking
Societe Generale Corporate and Investment Banking - SGCIB · International Corporate and Administration Volunteer
Société Générale - New-York
Société Générale Africa Technologies & Services
Société Générale Asset Management/ Alternative Investments
Société Générale Corporate and Investment Banking
Société Générale Corporate and Investment Banking - SGCIB
Société Générale Paris
Société Générale Risk Division
Société Générale · Contract
Sophis
Sophis Technology
Thomson Reuters · Internship
Tikehau Capital
Tikehau Capital · Apprenticeship
TotalEnergies · Contract
WEBB Traders · Permanent
Welton Investment Partners · Full-time
Worldline Global · Internship
